ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2463758,HH792737,11/20/2002 10:15:00 PM,048XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2032,020,46,3,07,,,2002,08/17/2015 03:03:40 PM,,,
2465718,HH773493,11/11/2002 07:00:00 PM,058XX W CORCORAN PL,0810,THEFT,OVER $500,STREET,false,false,1512,015,29,25,06,,,2002,08/17/2015 03:03:40 PM,,,
2464155,HH791444,11/20/2002 03:49:23 PM,019XX E 73RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,false,false,0333,003,5,43,08B,,,2002,08/17/2015 03:03:40 PM,,,
2464330,HH784988,11/17/2002 11:54:26 AM,004XX W 95TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,2223,022,21,73,18,,,2002,08/17/2015 03:03:40 PM,,,
2464669,HH793944,10/11/2002 05:53:00 PM,054XX W 63RD ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,true,false,0813,008,13,64,11,,,2002,08/17/2015 03:03:40 PM,,,
2464838,HH793432,11/21/2002 12:01:00 AM,014XX W BYRON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1923,019,47,6,05,,,2002,08/17/2015 03:03:40 PM,,,
2466734,HH795405,11/22/2002 02:09:00 PM,054XX S NAGLE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,false,false,0811,008,23,56,03,,,2002,08/17/2015 03:03:40 PM,,,
2465025,HH794602,11/22/2002 07:15:00 AM,080XX S MARSHFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0611,006,21,71,07,,,2002,08/17/2015 03:03:40 PM,,,
2465106,HH794103,11/21/2002 08:34:41 PM,035XX E 106TH ST,0499,BATTERY,AGGRAVATED DOMESTIC BATTERY,APARTMENT,false,false,0432,004,10,52,04B,,,2002,08/17/2015 03:03:40 PM,,,
2465713,HH787516,11/18/2002 05:35:00 PM,0000X N KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,011,28,26,16,,,2002,08/17/2015 03:03:40 PM,,,
2466209,HH792166,11/19/2002 03:30:00 PM,011XX N LECLAIRE AVE,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,1531,015,37,25,02,,,2002,08/17/2015 03:03:40 PM,,,
2466339,HH795791,11/22/2002 10:30:00 AM,035XX W EVERGREEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1422,014,26,23,07,,,2002,08/17/2015 03:03:40 PM,,,
2466439,HH796287,11/22/2002 11:30:00 AM,019XX N DAMEN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1434,014,32,22,06,,,2002,08/17/2015 03:03:40 PM,,,
2466595,HH792634,11/20/2002 11:00:00 PM,062XX N CAMPBELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2413,024,50,2,07,,,2002,08/17/2015 03:03:40 PM,,,
2466655,HH794356,11/21/2002 11:55:00 PM,033XX E 90TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0424,004,10,46,03,,,2002,08/17/2015 03:03:40 PM,,,
2466798,HH793638,11/21/2002 03:00:00 PM,044XX S PRINCETON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0935,009,3,37,07,,,2002,08/17/2015 03:03:40 PM,,,
2466983,HH796952,11/23/2002 12:30:00 AM,071XX S CONSTANCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0324,003,5,43,07,,,2002,08/17/2015 03:03:40 PM,,,
2468115,HH798457,11/24/2002 01:11:55 AM,022XX E 88TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0412,004,8,48,07,,,2002,08/17/2015 03:03:40 PM,,,
2469321,HH790809,11/20/2002 09:46:52 AM,006XX S LOTUS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1522,015,29,25,26,,,2002,08/17/2015 03:03:40 PM,,,
2469410,HH799943,11/24/2002 09:15:00 PM,026XX W DEVON AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,2413,024,50,2,06,,,2002,08/17/2015 03:03:40 PM,,,
2469550,HH799914,11/24/2002 07:50:00 PM,0000X N PULASKI RD,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,false,false,1122,011,28,26,03,,,2002,08/17/2015 03:03:40 PM,,,
